MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
33890299,Match,Partido,Both teams to score in first half y Over 10.5 corners,6,12.64,8.79,Belgium - Egypt,2026-06-15 19:00:29,2.96,1,EUR,2,False,0.43799772468714476,steamer,True
36966612,Team shots on target,Remates a puerta equipo,France 9 or more,13,2.24,1.56,France - Iraq,2026-06-22 21:00:42,,2,,11,True,0.43589743589743585,steamer,True
36966549,Team corners,Corners equipo,Sweden 4 or more,37,2.44,1.7,Netherlands - Sweden,2026-06-20 17:00:05,,2,,30,True,0.43529411764705883,steamer,True
33890211,Team shots on target,Remates a puerta equipo,Argentina 7 or more,5,2.35,1.64,Argentina - Algeria,2026-06-17 01:02:37,,2,,5,True,0.4329268292682926,steamer,True
33890299,Home-side combo (bet builder),Bélgica,"Belgium win, Over 8.5 corners y Doku 2 or more shots on target",6,7.72,5.41,Belgium - Egypt,2026-06-15 19:00:29,12.03,1,EUR,5,False,0.4269870609981515,steamer,True
36966592,Team corners,Corners equipo,Egypt 5 or more,7,1.71,1.2,New Zealand - Egypt,2026-06-22 01:00:05,,2,,7,True,0.42500000000000016,steamer,True
36966593,Team shots on target,Remates a puerta equipo,Belgium 6 or more,12,2.18,1.53,Belgium - Iran,2026-06-21 19:00:03,,2,,9,True,0.42483660130718964,steamer,True
33890309,Team Shots,Remates equipo,Usa 15 or more,5,3.02,2.12,Usa - Paraguay,2026-06-13 01:02:10,,2,,5,True,0.4245283018867922,steamer,True
36966473,Team shots on target,Remates a puerta equipo,Bosnia And Herzegovina 3 or more,6,2.04,1.44,Switzerland - Bosnia And Herzegovina,2026-06-18 19:00:01,216.17,1,EUR,4,False,0.4166666666666667,steamer,True
36966591,Home-side combo (bet builder),España,"Dani Olmo to score, Álex Baena to be booked y Musab Fahz Al Al Juwayr to be booked",6,61.0,43.24,Spain - Saudi Arabia,2026-06-21 16:00:48,8.44,1,EUR,6,False,0.4107308048103607,steamer,True
33890299,Team corners,Corners equipo,Belgium 7 or more,9,2.27,1.61,Belgium - Egypt,2026-06-15 19:00:29,,2,,9,True,0.4099378881987577,steamer,True
36966466,Team shots on target,Remates a puerta equipo,South Korea 5 or more,6,4.27,3.03,Mexico - South Korea,2026-06-19 01:00:38,,2,,5,True,0.40924092409240914,steamer,True
33890299,Team corners,Corners equipo,Egypt 6 or more,5,6.2,4.4,Belgium - Egypt,2026-06-15 19:00:29,23.85,1,EUR,4,False,0.40909090909090906,steamer,True
33890299,Home-side combo (bet builder),Bélgica,"Belgium win, Over 8.5 corners y Doku to score",7,7.5,5.35,Belgium - Egypt,2026-06-15 19:00:29,15.469999999999999,1,EUR,5,False,0.40186915887850483,steamer,True
33890210,Team corners,Corners equipo,Jordan 4 or more,17,2.67,1.91,Austria - Jordan,2026-06-17 04:02:52,,2,,16,True,0.3979057591623036,steamer,True
33890299,Match corners,Corners durante el partido,12 or more,7,3.1,2.22,Belgium - Egypt,2026-06-15 19:00:29,,2,,7,True,0.3963963963963963,steamer,True
36966593,Match shots on target,Remates a puerta durante el partido,9 or more,10,2.22,1.59,Belgium - Iran,2026-06-21 19:00:03,,2,,6,True,0.3962264150943397,steamer,True
36966609,Match tackles,Entradas ganadas (tackles) durante el partido,32 or more,5,2.38,1.71,Argentina - Austria,2026-06-22 17:00:58,1430.0,1,PEN,4,False,0.39181286549707595,steamer,True
33890306,Team shots on target,Remates a puerta equipo,Germany 8 or more,9,1.67,1.2,Germany - Curaçao,2026-06-14 17:01:45,,2,,9,True,0.3916666666666666,steamer,True
